제목,개요,감독,평점
아임 히어로 더 파이널,"다큐멘터리, 공연실황 대한민국 102분 2023 .03.01 개봉",오윤동,관람객 평점 9.87점
더 퍼스트 슬램덩크,애니메이션 일본 124분 2023 .01.04 개봉,이노우에 다케히코,관람객 평점 9.28점
다음 소희,드라마 대한민국 138분 2023 .02.08 개봉,정주리,관람객 평점 8.76점
로마의 휴일,"코미디, 드라마, 멜로/로맨스 미국 , 이탈리아 118분 1955 .09.30 개봉",윌리엄 와일러,관람객 평점 9.75점
극장판 주술회전 0,애니메이션 일본 105분 2022 .02.17 개봉,박성후,관람객 평점 8.97점
카시오페아,드라마 대한민국 102분 2022 .06.01 개봉,신연식,관람객 평점 8.44점
탄생,드라마 대한민국 151분 2022 .11.30 개봉,박흥식,관람객 평점 8.23점
꽃다발 같은 사랑을 했다,멜로/로맨스 일본 123분 2021 .07.14 개봉,도이 노부히로,관람객 평점 8.52점
십계,"드라마 미국 221분 1982 .07.28 재개봉, 1973 .06.16 재개봉, 1962 .12.22 개봉",세실 B. 데밀,
"안녕, 나의 소울메이트",드라마 중국 110분 2017 .12.07 개봉,증국상,관람객 평점 8.81점
영웅,"드라마, 뮤지컬 대한민국 120분 2022 .12.21 개봉",윤제균,관람객 평점 8.43점
파벨만스,드라마 미국 151분 2023 .03.22 개봉,스티븐 스필버그,관람객 평점 8.84점
장화신은 고양이: 끝내주는 모험,애니메이션 미국 102분 2023 .01.04 개봉,조엘 크로포드,관람객 평점 8.42점
너의 이름은.,"애니메이션, 드라마, 멜로/로맨스 일본 106분 2021 .09.09 재개봉, 2018 .01.04 재개봉, 2017 .07.13 재개봉, 2017 .01.04 개봉",신카이 마코토,관람객 평점 9.02점
카운트,드라마 대한민국 109분 2023 .02.22 개봉,권혁재,관람객 평점 8.00점
서치 2,"미스터리, 스릴러 미국 111분 2023 .02.22 개봉",니콜라스 D. 존슨,관람객 평점 8.33점
두다다쿵: 후후섬의 비밀,애니메이션 대한민국 83분 2023 .02.15 개봉,최병선,관람객 평점 8.21점
소울메이트,드라마 대한민국 124분 2023 .03.15 개봉,민용근,관람객 평점 8.03점
멍뭉이,드라마 대한민국 113분 2023 .03.01 개봉,김주환,관람객 평점 8.37점
아바타: 물의 길,"액션, 모험, SF, 스릴러 미국 192분 2022 .12.14 개봉",제임스 카메론,관람객 평점 8.82점
